timestamp,datetime,component,shared_memory_mb,process_memory_mb,shared_memory_name
1762653746.721112,2025-11-08 20:02:26,NEWS_STRATEGY,0.015625,94.296875,G8_Shared_News_Book
1762653746.7445362,2025-11-08 20:02:26,PRICE_STRATEGY,0.015625,95.40625,G8_Shared_Prcie_Book
1762653746.7595782,2025-11-08 20:02:26,ORDERBOOK,0.015625,94.71875,G8_Shared_Prcie_Book
1762653747.009652,2025-11-08 20:02:27,ORDERBOOK,0.015625,94.71875,G8_Shared_Prcie_Book
1762653747.25777,2025-11-08 20:02:27,ORDERBOOK,0.015625,94.71875,G8_Shared_Prcie_Book
1762653747.3424919,2025-11-08 20:02:27,NEWS_STRATEGY,0.015625,94.3125,G8_Shared_News_Book
1762653747.367913,2025-11-08 20:02:27,PRICE_STRATEGY,0.015625,95.421875,G8_Shared_Prcie_Book
1762653747.509281,2025-11-08 20:02:27,ORDERBOOK,0.015625,94.71875,G8_Shared_Prcie_Book
1762653747.75173,2025-11-08 20:02:27,ORDERBOOK,0.015625,94.71875,G8_Shared_Prcie_Book
1762653747.9661162,2025-11-08 20:02:27,NEWS_STRATEGY,0.015625,93.953125,G8_Shared_News_Book
1762653747.991723,2025-11-08 20:02:27,PRICE_STRATEGY,0.015625,95.078125,G8_Shared_Prcie_Book
1762653747.9959,2025-11-08 20:02:27,ORDERBOOK,0.015625,94.375,G8_Shared_Prcie_Book
1762653748.2469702,2025-11-08 20:02:28,ORDERBOOK,0.015625,94.390625,G8_Shared_Prcie_Book
1762653748.496491,2025-11-08 20:02:28,ORDERBOOK,0.015625,94.390625,G8_Shared_Prcie_Book
1762653748.58263,2025-11-08 20:02:28,NEWS_STRATEGY,0.015625,93.953125,G8_Shared_News_Book
1762653748.608566,2025-11-08 20:02:28,PRICE_STRATEGY,0.015625,95.078125,G8_Shared_Prcie_Book
1762653848.080263,2025-11-08 20:04:08,ORDERBOOK,0.015625,94.640625,G8_Shared_Prcie_Book
1762653848.326848,2025-11-08 20:04:08,ORDERBOOK,0.015625,94.640625,G8_Shared_Prcie_Book
